word,rating,count
family,4.583,333
faster,4.583,48
living,4.583,36
prefer,4.582,79
meat,4.58,948
middle,4.58,50
banana,4.578,147
multiple,4.578,45
outstanding,4.578,45
burbank,4.577,690
staff,4.576,427
00,4.575,40
cuban,4.575,966
bistec,4.574,61
dessert,4.573,330
moist,4.573,103
strudel,4.573,218
sweet,4.572,780
cases,4.571,35
low,4.571,63
packed,4.571,345
creme,4.57,93
hit,4.569,109
pass,4.569,58
crave,4.568,37
far,4.568,227
following,4.568,37
starbucks,4.568,37
works,4.568,37
clean,4.567,134
salty,4.566,53
soft,4.566,159
week,4.566,122
driving,4.565,46
matter,4.565,124
coming,4.564,275
house,4.564,94
moved,4.564,133
iced,4.563,103
piece,4.563,48
ridiculously,4.563,48
roll,4.563,467
street,4.563,215
parking,4.561,1094
remember,4.561,107
life,4.56,116
cheaper,4.559,34
including,4.558,43
say,4.558,604
black,4.557,88
com,4.556,36
flavors,4.556,72
oreo,4.556,36
cream,4.555,227
loved,4.555,191
wish,4.555,274
crispy,4.554,139
almond,4.553,47
recently,4.553,85
tarts,4.553,123
tasty,4.553,318
area,4.549,481
difficult,4.549,71
french,4.549,51
pan,4.549,162
pastries,4.548,2025
pulled,4.548,42
solid,4.548,42
version,4.548,42
pork,4.547,247
lines,4.546,1249
face,4.545,66
wonder,4.545,55
especially,4.544,226
bought,4.543,140
yelp,4.543,138
coffee,4.542,522
yes,4.542,260
early,4.541,133
sucks,4.54,50
place,4.539,2939
meal,4.538,158
napoleon,4.538,52
simply,4.538,91
tried,4.538,656
wedding,4.538,52
cakes,4.537,989
deli,4.537,41
luckily,4.537,41
offer,4.537,95
slightly,4.537,41
90,4.536,56
garlic,4.536,56
minute,4.536,69
portos,4.535,923
colada,4.534,58
pastry,4.534,768
chicken,4.533,723
incredibly,4.533,60
salads,4.533,92
value,4.533,45
knows,4.532,62
options,4.532,111
seen,4.532,77
eat,4.531,635
hollywood,4.531,64
ll,4.531,533
places,4.531,192
long,4.53,1426
tip,4.53,66
add,4.529,119
hard,4.529,189
spicy,4.529,51
bite,4.528,178
consistently,4.528,36
inside,4.528,409
walking,4.528,72
cupcake,4.527,112
milk,4.527,93
beef,4.525,217
lunch,4.524,594
thing,4.524,498
carrot,4.523,86
bit,4.521,338
brought,4.521,144
creamy,4.521,117
plantain,4.521,311
dinner,4.52,148
knew,4.52,75
park,4.52,100
gets,4.519,208
pretty,4.519,790
slices,4.519,54
considering,4.518,56
nice,4.518,400
seating,4.517,180
flavorful,4.516,93
suggest,4.516,64
ball,4.515,538
flakey,4.514,35
guys,4.512,43
glendale,4.511,378
things,4.511,454
cause,4.51,51
menu,4.51,335
real,4.509,106
enjoy,4.508,187
fluffy,4.508,61
right,4.508,524
butter,4.507,71
feta,4.507,138
home,4.507,456
pineapple,4.507,75
chip,4.506,79
tons,4.506,81
drinks,4.505,222
man,4.505,101
happy,4.502,211
huge,4.502,325
beans,4.5,82
craving,4.5,72
darn,4.5,42
fat,4.5,54
lol,4.5,112
overwhelmed,4.5,36
satisfied,4.5,42
surprised,4.5,86
wait,4.5,1106
warm,4.5,118
bread,4.499,541
sure,4.498,470
close,4.497,155
friends,4.497,296
location,4.497,581
strawberry,4.497,145
believe,4.496,121
let,4.496,262
sandwich,4.496,1737
boxes,4.495,182
afternoon,4.494,81
stopped,4.494,87
egg,4.493,71
run,4.493,71
day,4.492,516
truly,4.492,61
leaving,4.491,53
local,4.49,49
turnover,4.49,49
later,4.489,137
near,4.488,86
ahead,4.487,80
likely,4.486,35
mayo,4.486,37
chips,4.485,476
wrong,4.485,291
choice,4.484,62
loves,4.484,93
size,4.484,93
walk,4.483,180
stay,4.482,56
unique,4.481,52
hungry,4.48,75
damn,4.479,96
tastes,4.479,119
crazy,4.478,230
fan,4.478,201
good,4.477,2851
caramel,4.476,63
friend,4.476,286
grilled,4.476,105
custard,4.475,40
danishes,4.475,59
taken,4.475,40
box,4.474,274
busy,4.474,557
display,4.474,97
expect,4.474,133
sell,4.474,38
eating,4.473,205
foods,4.473,55
large,4.473,184
disneyland,4.472,72
cousin,4.471,34
open,4.471,172
cafe,4.469,209
ve,4.466,1264
50,4.465,86
choices,4.465,71
make,4.464,653
sauce,4.464,110
avoid,4.463,54
brulee,4.463,54
true,4.463,54
yeah,4.463,67
basically,4.462,78
establishment,4.462,39
time,4.461,1805
reviews,4.46,215
addition,4.459,37
apple,4.459,122
drink,4.458,131
mind,4.458,120
hate,4.457,70
heading,4.457,35
helped,4.457,81
little,4.457,536
come,4.456,842
door,4.456,215
feel,4.456,195
100,4.455,44
chance,4.455,77
enter,4.455,33
night,4.455,55
seat,4.453,53
despite,4.452,73
means,4.452,42
spot,4.452,219
year,4.451,91
visited,4.45,40
prepared,4.449,98
years,4.449,236
cents,4.448,87
downey,4.448,105
bucks,4.447,47
kid,4.446,65
honestly,4.445,110
line,4.445,2182
spend,4.444,45
doing,4.443,70
lot,4.443,592
ago,4.442,86
authentic,4.442,52
decide,4.441,59
heart,4.44,50
ropa,4.438,73
patience,4.436,39
personally,4.436,39
quite,4.436,163
frosting,4.435,46
bunch,4.434,53
high,4.433,120
need,4.433,372
cookie,4.432,74
price,4.432,296
spread,4.432,37
vieja,4.432,74
known,4.431,72
similar,4.431,51
texture,4.431,65
actually,4.43,256
extra,4.43,100
free,4.43,172
trying,4.43,193
actual,4.429,42
kind,4.429,205
space,4.429,63
story,4.429,35
won,4.429,184
deep,4.427,75
leave,4.426,136
ones,4.426,108
fun,4.425,40
start,4.423,104
taste,4.423,411
10,4.422,249
hours,4.421,140
just,4.421,2011
neighborhood,4.421,38
spent,4.421,38
outside,4.42,231
picking,4.42,50
reason,4.42,176
couple,4.419,186
don,4.419,1165
filling,4.418,285
pastrami,4.417,84
thanks,4.417,60
tomato,4.417,36
word,4.417,36
feeling,4.415,53
know,4.415,651
really,4.415,1259
total,4.414,58
away,4.411,270
crowd,4.411,95
end,4.411,141
usual,4.411,73
white,4.411,90
smile,4.41,61
straight,4.41,39
stuff,4.406,192
daughter,4.405,42
restaurant,4.404,166
sunday,4.404,89
sister,4.403,72
sitting,4.403,72
want,4.403,586
crowded,4.401,287
like,4.401,1834
brings,4.4,35
item,4.4,120
save,4.4,40
section,4.4,45
hot,4.399,213
buying,4.397,58
work,4.395,233
comes,4.394,170
going,4.394,528
idea,4.393,56
party,4.393,163
popular,4.393,178
25,4.392,51
came,4.39,362
corner,4.39,59
mentioned,4.39,41
point,4.39,123
satisfying,4.39,41
veggie,4.39,59
cup,4.384,73
ended,4.384,99
items,4.384,430
think,4.384,508
fairly,4.383,81
main,4.381,42
wife,4.38,50
flavor,4.379,224
looking,4.378,156
vegetarian,4.378,37
expected,4.375,72
fair,4.375,48
insane,4.375,48
occasions,4.375,40
workers,4.375,144
food,4.374,1937
finding,4.373,59
non,4.372,43
rush,4.372,78
small,4.372,199
stomach,4.372,43
tomatoes,4.372,43
event,4.371,35
separate,4.371,62
overall,4.37,138
liked,4.366,82
worker,4.366,41
crowds,4.365,74
dine,4.365,52
serve,4.365,63
cost,4.364,55
slow,4.364,55
does,4.362,130
probably,4.362,260
sugar,4.362,141
chaotic,4.361,36
folks,4.361,36
getting,4.36,253
impressed,4.359,64
mins,4.359,39
mouse,4.359,39
atmosphere,4.358,81
tasted,4.358,176
way,4.358,576
days,4.357,129
bags,4.356,45
building,4.355,62
ingredients,4.353,34
pain,4.353,34
enjoyed,4.351,94
quality,4.351,322
possible,4.349,43
read,4.349,43
dough,4.348,46
glass,4.348,46
ordering,4.348,227
rating,4.348,46
able,4.347,118
different,4.347,213
limited,4.346,52
turn,4.346,78
case,4.345,116
note,4.345,55
friday,4.343,35
got,4.343,886
layer,4.343,35
kept,4.34,47
ready,4.337,98
served,4.337,101
big,4.334,296
bad,4.333,357
opinion,4.333,45
tough,4.333,36
shop,4.327,55
times,4.327,376
turnovers,4.327,52
bringing,4.326,43
extremely,4.326,138
started,4.325,80
water,4.324,37
people,4.322,938
